Time,nsteps,dt,dt CFL,dt Viscous,dt Capillary,dt Conduction,dt Interface,dt Surfactant,MIN_X_VELOCITY,MIN_Y_VELOCITY,MIN_Z_VELOCITY,MIN_VELOCITY_MAGNITUDE,MAX_X_VELOCITY,MAX_Y_VELOCITY,MAX_Z_VELOCITY,MAX_VELOCITY_MAGNITUDE,Kinetic Energy,Max(div(V)),FLUID_VOLUME,SOLID_VOLUME,1_TOTAL_VOLUME,2_TOTAL_VOLUME,1_WEST_MASS_FLUX,1_EAST_MASS_FLUX,1_FRONT_MASS_FLUX,1_BACK_MASS_FLUX,1_SOUTH_MASS_FLUX,1_NORTH_MASS_FLUX,2_WEST_MASS_FLUX,2_EAST_MASS_FLUX,2_FRONT_MASS_FLUX,2_BACK_MASS_FLUX,2_SOUTH_MASS_FLUX,2_NORTH_MASS_FLUX,1_CENTROID_X,1_CENTROID_Y,1_CENTROID_Z,2_CENTROID_X,2_CENTROID_Y,2_CENTROID_Z,RMIN_TO_CENTER,RMAX_TO_CENTER,(RMAX-RMIN)_TO_CENTER,RMIN_TO_AXIS,RMAX_TO_AXIS,(RMAX-RMIN)_TO_AXIS,INTERFACE_SURFACE_AREA,ptx(WEST) ,pty(WEST),ptz(WEST),ptx(FRONT) ,pty(FRONT),ptz(FRONT),ptx(SOUTH) ,pty(SOUTH),ptz(SOUTH),ptx(EAST) ,pty(EAST),ptz(EAST),ptx(BACK) ,pty(BACK),ptz(BACK),ptx(NORTH) ,pty(NORTH),ptz(NORTH),PRESSURE_ITERATION,PRESSURE_GMRES_COMP,PRESSURE_MG_RATE,PRESSURE_GAMMA,PRESSURE_RESIDUAL,PT_MVT_GLOBAL,INT_HO_RESIDUAL,TOTAL_ELEMENTS
  1.00000000E-02,       1,  1.00000000E-02,  3.51843721E+12,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  7.03687442E+11,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  6.03313260E-09,  2.75830078E-03,  7.41699219E-04,  1.97021484E-04,  2.56127930E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.74999817E+00,  3.25000000E-01,  3.25000000E-01,  3.84629462E-03,  1.92307692E-03,  1.92307692E-03,  9.50006425E-02,  1.14277836E-01,  1.92771936E-02,  8.00001526E-02,  9.05151543E-02,  1.05150017E-02,  2.68787776E-04,  1.00000000E-01,  1.00000000E-01,  1.00000000E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  1.00000000E-01,  1.00000000E-01,  1.00000000E-01,  0.00000000E+00,  5.00000000E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  5.00000000E-02,      15,       0,  2.39060301E-01,  2.23064336E-01,  6.03031367E-07,  0.00000000E+00,  0.00000000E+00,   58800
  2.00000000E-02,       2,  1.00000000E-02,  1.95407914E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  7.03687442E+11,  0.00000000E+00,  0.00000000E+00, -1.31495955E-02, -1.31495955E-02,  0.00000000E+00,  3.99804687E-02,  1.31493186E-02,  1.31493186E-02,  3.91000836E-02,  5.85259978E-04,  4.32997432E-08,  2.75830078E-03,  7.41699219E-04,  1.97410917E-04,  2.56088986E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.73056685E+00,  3.24309555E-01,  3.24309555E-01,  3.86210361E-03,  1.92717109E-03,  1.92717109E-03,  9.50024269E-02,  1.14277836E-01,  1.92754093E-02,  8.00024161E-02,  9.05152808E-02,  1.05128647E-02,  2.68776615E-04,  9.99944538E-02,  1.00000000E-01,  1.00000000E-01,  4.60937500E-02,  0.00000000E+00,  0.00000000E+00,  4.06250000E-02,  0.00000000E+00,  0.00000000E+00,  1.00224503E-01,  1.00000000E-01,  1.00000000E-01,  2.50000000E-02,  5.00000000E-02,  0.00000000E+00,  2.50000000E-02,  0.00000000E+00,  5.00000000E-02,      14,       0,  2.23974517E-01,  2.22983702E-01,  3.72715294E-06,  2.24503898E-04,  5.74662797E-06,   69552
  3.00000000E-02,       3,  1.00000000E-02,  1.88860356E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  6.95657096E-03,  0.00000000E+00, -1.23195430E-02, -1.33414549E-02, -1.33414549E-02,  0.00000000E+00,  4.13665428E-02,  1.33409730E-02,  1.33409730E-02,  4.06764578E-02,  7.64127517E-04,  3.84415792E-08,  2.75830078E-03,  7.41699219E-04,  1.97805960E-04,  2.56049482E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.71093330E+00,  3.23611939E-01,  3.23611939E-01,  3.87818072E-03,  1.93132560E-03,  1.93132560E-03,  9.50023180E-02,  1.14277836E-01,  1.92755181E-02,  8.00023681E-02,  9.05152367E-02,  1.05128687E-02,  2.68776685E-04,  9.99971055E-02,  1.00000000E-01,  1.00000000E-01,  9.37500000E-03,  0.00000000E+00,  0.00000000E+00,  3.90625000E-03,  0.00000000E+00,  0.00000000E+00,  1.00495693E-01,  1.00000000E-01,  1.00000000E-01,  2.50000000E-02,  5.00000000E-02,  0.00000000E+00,  2.50000000E-02,  0.00000000E+00,  5.00000000E-02,      15,       0,  2.27364948E-01,  2.23213809E-01,  4.86266799E-07,  2.71518325E-04,  5.94396859E-06,   69740
  4.00000000E-02,       4,  1.00000000E-02,  1.95407914E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  5.74633380E-03,  0.00000000E+00, -1.02890451E-02, -1.24127395E-02, -1.24127395E-02,  0.00000000E+00,  3.99804687E-02,  1.24122969E-02,  1.24122969E-02,  3.95138506E-02,  7.95311558E-04,  3.35703434E-08,  2.75830078E-03,  7.41699219E-04,  1.98201159E-04,  2.56009962E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.69136986E+00,  3.22916830E-01,  3.22916830E-01,  3.89430658E-03,  1.93548313E-03,  1.93548313E-03,  9.49981152E-02,  1.14277835E-01,  1.92797196E-02,  8.00001526E-02,  9.05154830E-02,  1.05153305E-02,  2.68781789E-04,  9.99882034E-02,  1.00000000E-01,  9.99999994E-02,  5.00000000E-02,  0.00000000E+00,  4.68750000E-03,  2.10937500E-02,  7.81250000E-04,  0.00000000E+00,  1.00795384E-01,  9.99999995E-02,  9.99999994E-02,  2.50000000E-02,  5.00000000E-02,  4.68750000E-03,  2.50000000E-02,  4.68750000E-03,  5.00000000E-02,      14,       0,  2.22723172E-01,  2.22898466E-01,  4.87110810E-07,  3.00026515E-04,  7.73289599E-06,   72184
  5.00000000E-02,       5,  1.00000000E-02,  1.94490828E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  5.19813788E-03,  0.00000000E+00, -8.71656565E-03, -1.15684609E-02, -1.15684609E-02,  0.00000000E+00,  4.01689894E-02,  1.15680900E-02,  1.15680900E-02,  4.00747845E-02,  7.88367636E-04,  2.77574341E-08,  2.75830078E-03,  7.41699219E-04,  1.98593491E-04,  2.55970729E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.67202475E+00,  3.22229499E-01,  3.22229499E-01,  3.91036443E-03,  1.93961180E-03,  1.93961180E-03,  9.49861777E-02,  1.14277836E-01,  1.92916581E-02,  7.99854080E-02,  9.05159573E-02,  1.05305493E-02,  2.68785636E-04,  9.99684945E-02,  9.99999987E-02,  9.99999987E-02,  7.81250000E-04,  0.00000000E+00,  5.46875000E-03,  3.20627555E-02,  5.46875000E-03,  0.00000000E+00,  1.01116752E-01,  9.99999987E-02,  9.99999999E-02,  2.50000000E-02,  5.00000000E-02,  0.00000000E+00,  2.50000000E-02,  5.46875000E-03,  5.00000000E-02,      13,       0,  1.97015022E-01,  2.22943765E-01,  5.81268978E-07,  3.21367846E-04,  1.15982319E-05,   72244
  6.00000000E-02,       6,  1.00000000E-02,  1.94119982E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  4.85212902E-03,  0.00000000E+00, -6.48861586E-03, -1.13586978E-02, -1.13586978E-02,  0.00000000E+00,  4.02457280E-02,  1.13583055E-02,  1.13583055E-02,  4.02417406E-02,  7.73323453E-04,  2.55822201E-08,  2.75830078E-03,  7.41699219E-04,  1.98986390E-04,  2.55931439E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.65272765E+00,  3.21543891E-01,  3.21543891E-01,  3.92648925E-03,  1.94374772E-03,  1.94374772E-03,  9.49810606E-02,  1.14277836E-01,  1.92967749E-02,  7.99820847E-02,  9.05159384E-02,  1.05338537E-02,  2.68788185E-04,  9.99631245E-02,  9.99999999E-02,  9.99999999E-02,  8.18125499E-04,  0.00000000E+00,  1.56250000E-03,  3.20312500E-02,  1.56250000E-03,  0.00000000E+00,  1.01456036E-01,  9.99999999E-02,  1.00000000E-01,  2.50000000E-02,  5.00000000E-02,  0.00000000E+00,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,      13,       0,  1.82456819E-01,  2.23003872E-01,  2.17500201E-07,  3.39277893E-04,  4.55719799E-06,   72300
  7.00000000E-02,       7,  1.00000000E-02,  1.90718573E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  4.59496656E-03,  0.00000000E+00, -4.40178595E-03, -1.09037686E-02, -1.09037686E-02,  0.00000000E+00,  4.09634986E-02,  1.09034323E-02,  1.09034323E-02,  4.09620484E-02,  7.58457295E-04,  2.11329379E-08,  2.75830078E-03,  7.41699219E-04,  1.99378827E-04,  2.55892195E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.63352865E+00,  3.20861787E-01,  3.20861787E-01,  3.94264020E-03,  1.94788001E-03,  1.94788001E-03,  9.49874952E-02,  1.14277835E-01,  1.92903403E-02,  7.99871016E-02,  9.05159609E-02,  1.05288593E-02,  2.68789502E-04,  9.99677050E-02,  9.99999995E-02,  9.99999995E-02,  7.81250000E-04,  0.00000000E+00,  1.56250000E-03,  3.20635450E-02,  1.56250000E-03,  0.00000000E+00,  1.01810352E-01,  9.99999995E-02,  1.00000000E-01,  2.50000000E-02,  5.00000000E-02,  0.00000000E+00,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,      12,       0,  1.73376135E-01,  2.23003860E-01,  4.44924808E-07,  3.54315088E-04,  3.53648519E-06,   73412
  8.00000000E-02,       8,  1.00000000E-02,  1.88712585E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  4.39968489E-03,  0.00000000E+00, -2.73400986E-03, -1.07923289E-02, -1.07923289E-02,  0.00000000E+00,  4.13989349E-02,  1.07919712E-02,  1.07919712E-02,  4.13980010E-02,  7.45959542E-04,  1.89711261E-08,  2.75830078E-03,  7.41699219E-04,  1.99770657E-04,  2.55853012E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.61443408E+00,  3.20183411E-01,  3.20183411E-01,  3.95881157E-03,  1.95200723E-03,  1.95200723E-03,  9.49921951E-02,  1.14277836E-01,  1.92856404E-02,  7.99929450E-02,  9.05159885E-02,  1.05230435E-02,  2.68789921E-04,  9.99776568E-02,  9.99999988E-02,  9.99999988E-02,  7.81250000E-04,  0.00000000E+00,  1.56250000E-03,  3.20535932E-02,  1.56250000E-03,  0.00000000E+00,  1.02177068E-01,  9.99999988E-02,  9.99999988E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,      12,       0,  1.67384232E-01,  2.22999775E-01,  2.16178705E-07,  3.66707260E-04,  5.71534308E-06,   73560
  9.00000000E-02,       9,  1.00000000E-02,  1.87379719E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  4.25062039E-03,  0.00000000E+00, -1.49788802E-03, -1.04804405E-02, -1.04804405E-02,  0.00000000E+00,  4.16934130E-02,  1.04800622E-02,  1.04800622E-02,  4.16905919E-02,  7.36131995E-04,  1.79232324E-08,  2.75830078E-03,  7.41699219E-04,  2.00162859E-04,  2.55813792E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.59539571E+00,  3.19507050E-01,  3.19507050E-01,  3.97504228E-03,  1.95613961E-03,  1.95613961E-03,  9.49980658E-02,  1.14277836E-01,  1.92797698E-02,  7.99988291E-02,  9.05159859E-02,  1.05171568E-02,  2.68790605E-04,  9.99835238E-02,  9.99999980E-02,  9.99999980E-02,  1.32812500E-02,  0.00000000E+00,  1.56250000E-03,  2.36022624E-03,  1.56250000E-03,  0.00000000E+00,  1.02553865E-01,  9.99999980E-02,  9.99999981E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,      12,       0,  1.56973601E-01,  2.22984860E-01,  1.04788796E-07,  3.76789478E-04,  5.17265922E-06,   69568
  1.00000000E-01,      10,  1.00000000E-02,  1.86359212E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  4.13689353E-03,  0.00000000E+00, -6.30965140E-04, -1.03447911E-02, -1.03447911E-02,  0.00000000E+00,  4.19217269E-02,  1.03444949E-02,  1.03444949E-02,  4.19172495E-02,  7.28676098E-04,  1.57530743E-08,  2.75830078E-03,  7.41699219E-04,  2.00554855E-04,  2.55774593E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.57644126E+00,  3.18833689E-01,  3.18833689E-01,  3.99131007E-03,  1.96027105E-03,  1.96027105E-03,  9.50009592E-02,  1.14277835E-01,  1.92768762E-02,  8.00008345E-02,  9.05160226E-02,  1.05151881E-02,  2.68790851E-04,  9.99889771E-02,  9.99999972E-02,  9.99999972E-02,  1.32702271E-02,  0.00000000E+00,  1.56250000E-03,  2.34375000E-03,  1.56250000E-03,  0.00000000E+00,  1.02938685E-01,  9.99999972E-02,  9.99999972E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,      11,       0,  1.41914109E-01,  2.23030473E-01,  2.17015753E-07,  3.84806787E-04,  5.66814362E-06,   66852
  1.10000000E-01,      11,  1.00000000E-02,  1.85539979E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  4.05066983E-03,  0.00000000E+00, -4.51483994E-05, -1.01716866E-02, -1.01716866E-02,  0.00000000E+00,  4.21068281E-02,  1.01713741E-02,  1.01713741E-02,  4.20998849E-02,  7.23144377E-04,  1.17719543E-08,  2.75830078E-03,  7.41699219E-04,  2.00947120E-04,  2.55735366E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.55754734E+00,  3.18162498E-01,  3.18162498E-01,  4.00763342E-03,  1.96440645E-03,  1.96440645E-03,  9.50004807E-02,  1.14277836E-01,  1.92773548E-02,  8.00003675E-02,  9.05159885E-02,  1.05156210E-02,  2.68791727E-04,  9.99913865E-02,  9.99999962E-02,  9.99999962E-02,  1.17187500E-02,  0.00000000E+00,  1.56250000E-03,  3.12500000E-03,  1.56250000E-03,  0.00000000E+00,  1.03329825E-01,  9.99999962E-02,  9.99999962E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,      10,       0,  1.21955219E-01,  2.23071175E-01,  3.98112661E-07,  3.91128850E-04,  4.68382817E-06,   65532
  1.20000000E-01,      12,  1.00000000E-02,  1.84854457E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.98525033E-03,  0.00000000E+00,  0.00000000E+00, -9.95912750E-03, -9.95912750E-03,  0.00000000E+00,  4.22629788E-02,  9.95885448E-03,  9.95885448E-03,  4.22603991E-02,  7.19103748E-04,  1.06342931E-08,  2.75830078E-03,  7.41699219E-04,  2.01339095E-04,  2.55696169E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.53874037E+00,  3.17494414E-01,  3.17494414E-01,  4.02399062E-03,  1.96854002E-03,  1.96854002E-03,  9.50002591E-02,  1.14277835E-01,  1.92775756E-02,  8.00020080E-02,  9.05159453E-02,  1.05139373E-02,  2.68792646E-04,  9.99906944E-02,  9.99999949E-02,  9.99999949E-02,  2.34375000E-03,  0.00000000E+00,  1.56250000E-03,  1.25000000E-02,  1.56250000E-03,  0.00000000E+00,  1.03725975E-01,  9.99999950E-02,  9.99999950E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,      10,       0,  1.09089329E-01,  2.23078790E-01,  1.13766419E-07,  3.96134671E-04,  5.11135213E-06,   64600
  1.30000000E-01,      13,  1.00000000E-02,  1.84277594E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.93496804E-03,  0.00000000E+00,  0.00000000E+00, -9.85020063E-03, -9.85020063E-03,  0.00000000E+00,  4.23952790E-02,  9.84994057E-03,  9.84994057E-03,  4.23850541E-02,  7.16186988E-04,  1.43364199E-08,  2.75830078E-03,  7.41699219E-04,  2.01731160E-04,  2.55656962E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.52000173E+00,  3.16828776E-01,  3.16828776E-01,  4.04039664E-03,  1.97267582E-03,  1.97267582E-03,  9.49999070E-02,  1.14277835E-01,  1.92779278E-02,  8.00020933E-02,  9.05161348E-02,  1.05140414E-02,  2.68794193E-04,  9.99892025E-02,  9.99999993E-02,  9.99999993E-02,  3.75000000E-02,  0.00000000E+00,  7.81250000E-04,  4.76562500E-02,  7.81250000E-04,  0.00000000E+00,  1.04126115E-01,  9.99999993E-02,  9.99999991E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       8,       0,  7.08723119E-02,  2.22925064E-01,  3.70212092E-07,  4.00120627E-04,  4.72558349E-06,   64196
  1.40000000E-01,      14,  1.00000000E-02,  1.83772289E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.89590903E-03,  0.00000000E+00,  0.00000000E+00, -9.67092290E-03, -9.67092290E-03,  0.00000000E+00,  4.25118501E-02,  9.67064948E-03,  9.67064948E-03,  4.25036333E-02,  7.14102218E-04,  1.75710144E-08,  2.75830078E-03,  7.41699219E-04,  2.02123008E-04,  2.55617777E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.50134553E+00,  3.16166085E-01,  3.16166085E-01,  4.05683971E-03,  1.97681055E-03,  1.97681055E-03,  9.49993644E-02,  1.14277836E-01,  1.92784714E-02,  8.00021242E-02,  9.05164802E-02,  1.05143561E-02,  2.68795799E-04,  9.99891682E-02,  9.99999977E-02,  9.99999977E-02,  2.34375000E-03,  0.00000000E+00,  7.81250000E-04,  1.25000000E-02,  7.81250000E-04,  0.00000000E+00,  1.04529602E-01,  9.99999978E-02,  9.99999975E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       9,       0,  9.53379381E-02,  2.23066661E-01,  3.23458835E-07,  4.03469479E-04,  3.28294953E-06,   63552
  1.50000000E-01,      15,  1.00000000E-02,  1.83337237E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.86361454E-03,  0.00000000E+00,  0.00000000E+00, -9.56078840E-03, -9.56078840E-03,  0.00000000E+00,  4.26127291E-02,  9.56054797E-03,  9.56054796E-03,  4.26043931E-02,  7.12625526E-04,  2.14546812E-08,  2.75830078E-03,  7.41699219E-04,  2.02515053E-04,  2.55578573E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.48275176E+00,  3.15505629E-01,  3.15505629E-01,  4.07333651E-03,  1.98094871E-03,  1.98094871E-03,  9.49986721E-02,  1.14277832E-01,  1.92791598E-02,  8.00021308E-02,  9.05167307E-02,  1.05145999E-02,  2.68797831E-04,  9.99878009E-02,  9.99999959E-02,  9.99999959E-02,  1.56250000E-02,  0.00000000E+00,  7.81250000E-04,  4.92187500E-02,  7.81250000E-04,  0.00000000E+00,  1.04935896E-01,  9.99999960E-02,  9.99999957E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       9,       0,  9.55646290E-02,  2.23068156E-01,  3.88366175E-07,  4.06284642E-04,  2.93111452E-06,   63300
  1.60000000E-01,      16,  1.00000000E-02,  1.82901154E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.83718416E-03,  0.00000000E+00,  0.00000000E+00, -9.42301291E-03, -9.42301291E-03,  0.00000000E+00,  4.27143287E-02,  9.42278425E-03,  9.42278424E-03,  4.27035744E-02,  7.11589106E-04,  2.51698648E-08,  2.75830078E-03,  7.41699219E-04,  2.02906896E-04,  2.55539389E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.46423878E+00,  3.14848062E-01,  3.14848062E-01,  4.08987120E-03,  1.98508598E-03,  1.98508598E-03,  9.49980246E-02,  1.14277833E-01,  1.92798086E-02,  8.00021367E-02,  9.05169970E-02,  1.05148603E-02,  2.68799993E-04,  9.99860407E-02,  9.99999942E-02,  9.99999942E-02,  1.56250000E-02,  0.00000000E+00,  7.81250000E-04,  4.92187500E-02,  7.81250000E-04,  0.00000000E+00,  1.05344846E-01,  9.99999944E-02,  9.99999941E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       9,       0,  9.62955395E-02,  2.23072693E-01,  3.71518240E-07,  4.08919803E-04,  2.79528374E-06,   63132
  1.70000000E-01,      17,  1.00000000E-02,  1.82490579E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.81234744E-03,  0.00000000E+00,  0.00000000E+00, -9.30508330E-03, -9.30508330E-03,  0.00000000E+00,  4.28104292E-02,  9.30747142E-03,  9.30747142E-03,  4.27957714E-02,  7.10869193E-04,  2.83845538E-08,  2.75830078E-03,  7.41699219E-04,  2.03298874E-04,  2.55500191E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.44579032E+00,  3.14192804E-01,  3.14192804E-01,  4.10645768E-03,  1.98922594E-03,  1.98922594E-03,  9.49974533E-02,  1.14277834E-01,  1.92803805E-02,  8.00021446E-02,  9.05172279E-02,  1.05150832E-02,  2.68802566E-04,  9.99844960E-02,  9.99999931E-02,  9.99999931E-02,  1.56250000E-02,  0.00000000E+00,  7.81250000E-04,  7.81250000E-04,  7.81250000E-04,  0.00000000E+00,  1.05756116E-01,  9.99999933E-02,  9.99999931E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       9,       0,  9.39012947E-02,  2.23073040E-01,  3.21468690E-07,  4.11253997E-04,  2.80377933E-06,   63068
  1.80000000E-01,      18,  1.00000000E-02,  1.82058568E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.79135005E-03,  0.00000000E+00,  0.00000000E+00, -9.24538116E-03, -9.24538116E-03,  0.00000000E+00,  4.29120149E-02,  9.24794007E-03,  9.24794007E-03,  4.29011342E-02,  7.10375462E-04,  3.10157541E-08,  2.75830078E-03,  7.41699219E-04,  2.03690794E-04,  2.55460999E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.42741508E+00,  3.13540166E-01,  3.13540166E-01,  4.12308824E-03,  1.99336655E-03,  1.99336655E-03,  9.49957046E-02,  1.14277830E-01,  1.92821254E-02,  8.00021531E-02,  9.05174166E-02,  1.05152635E-02,  2.68805281E-04,  9.99831112E-02,  9.99999926E-02,  9.99999927E-02,  1.56250000E-02,  0.00000000E+00,  7.81250000E-04,  7.81250000E-04,  7.81250000E-04,  0.00000000E+00,  1.06169820E-01,  9.99999930E-02,  9.99999927E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       9,       0,  9.21733520E-02,  2.23080355E-01,  2.63119773E-07,  4.13671286E-04,  2.84943316E-06,   62808
